region,cancer_site,sex,year,incidences_all_ages,incidences_age_under5,incidences_age5to9,incidences_age10to14,incidences_age15to19,incidences_age20to24,incidences_age25to29,incidences_age30to34,incidences_age35to39,incidences_age40to44,incidences_age45to49,incidences_age50to54,incidences_age55to59,incidences_age60to64,incidences_age65to69,incidences_age70to74,incidences_age75to79,incidences_age80to84,incidences_age85to89,incidences_age90and_over
South East of Scotland,All cancer types,All,1996,7561,20,6,7,12,37,77,89,128,158,341,429,538,760,1021,1233,1161,867,451,226
South East of Scotland,All cancer types,All,1997,7116,15,14,3,15,37,71,90,121,163,287,439,562,729,933,1084,1089,829,434,201
South East of Scotland,All cancer types,All,1998,6850,13,9,9,11,26,57,89,150,178,257,411,521,661,898,1134,1093,721,431,181
South East of Scotland,All cancer types,All,1999,6916,9,13,7,9,31,59,83,132,171,222,461,540,707,904,1110,1129,616,507,206
South East of Scotland,All cancer types,All,2000,7126,18,11,8,11,24,50,92,124,178,259,470,565,779,883,1109,1151,776,432,186
South East of Scotland,All cancer types,All,2001,7127,15,13,9,15,31,52,75,134,174,233,438,554,760,933,1157,1075,753,488,218
South East of Scotland,All cancer types,All,2002,7291,16,12,16,17,29,48,88,125,200,279,459,625,771,954,1134,1119,805,392,202
South East of Scotland,All cancer types,All,2003,7420,20,13,12,21,16,51,79,117,183,283,430,639,779,936,1107,1159,898,434,243
South East of Scotland,All cancer types,All,2004,7442,17,10,16,20,31,44,76,117,229,263,460,626,782,1042,1092,1066,915,392,244
South East of Scotland,All cancer types,All,2005,7782,15,6,11,15,31,48,72,151,219,296,436,753,847,1040,1123,1167,857,465,230
South East of Scotland,All cancer types,All,2006,7881,14,6,10,17,33,52,93,128,177,314,492,720,884,1068,1115,1100,906,501,251
South East of Scotland,All cancer types,All,2007,8087,13,8,5,19,39,54,92,123,223,334,464,629,975,1048,1154,1190,901,551,265
South East of Scotland,All cancer types,All,2008,8149,17,9,12,20,33,70,69,134,218,330,468,676,976,1076,1213,1091,912,604,221
South East of Scotland,All cancer types,All,2009,8484,13,7,7,19,39,75,64,112,240,306,503,706,1033,1162,1238,1168,935,598,259
South East of Scotland,All cancer types,All,2010,8432,12,5,6,19,45,60,88,115,218,341,499,665,1054,1136,1205,1166,958,606,234
South East of Scotland,All cancer types,All,2011,8844,12,9,11,18,29,49,77,102,245,368,482,699,1103,1245,1243,1234,1003,610,305
South East of Scotland,All cancer types,All,2012,8741,11,7,5,14,30,52,75,133,193,324,506,711,1039,1318,1273,1185,950,626,289
South East of Scotland,All cancer types,All,2013,8986,18,11,9,20,28,63,94,118,202,372,525,680,967,1338,1313,1217,1054,678,279
South East of Scotland,All cancer types,All,2014,9303,20,13,8,20,35,60,85,97,200,374,564,723,971,1409,1342,1346,1013,691,332
South East of Scotland,All cancer types,All,2015,8973,15,13,7,17,32,70,96,131,184,374,548,693,947,1387,1301,1213,987,677,281
South East of Scotland,All cancer types,All,2016,8759,12,9,12,9,27,61,101,101,204,335,541,667,935,1288,1329,1220,985,633,290
South East of Scotland,All cancer types,All,2017,9012,15,10,13,21,25,43,104,131,184,303,560,731,943,1335,1374,1263,984,636,337
South East of Scotland,All cancer types,All,2018,9465,14,14,8,11,42,49,91,144,181,326,557,805,989,1341,1540,1368,1068,612,305
South East of Scotland,All cancer types,All,2019,9005,16,9,11,22,30,57,88,136,192,299,573,729,929,1282,1439,1300,980,601,312
South East of Scotland,All cancer types,All,2020,8451,20,8,6,10,30,43,93,139,176,290,509,678,853,1160,1346,1235,972,574,309
South East of Scotland,All cancer types,Male,1996,3722,11,3,4,8,18,32,27,46,53,129,169,273,388,544,703,631,441,167,75
South East of Scotland,All cancer types,Male,1997,3414,6,7,3,8,16,22,28,46,46,108,175,264,356,534,571,569,421,178,56
South East of Scotland,All cancer types,Male,1998,3354,8,3,4,8,14,20,32,48,55,95,157,238,357,497,629,587,360,182,60
South East of Scotland,All cancer types,Male,1999,3293,8,8,5,5,12,23,32,40,48,62,158,237,359,518,647,603,246,220,62
South East of Scotland,All cancer types,Male,2000,3438,11,7,2,5,12,28,34,42,54,74,199,243,391,491,641,586,389,176,53
South East of Scotland,All cancer types,Male,2001,3493,10,7,7,7,11,25,23,39,57,81,194,262,395,544,629,566,369,202,65
South East of Scotland,All cancer types,Male,2002,3558,5,7,7,13,12,16,31,45,75,93,161,265,424,534,652,594,402,162,60
South East of Scotland,All cancer types,Male,2003,3637,16,7,8,12,8,18,23,36,57,102,153,300,401,513,638,627,446,194,78
South East of Scotland,All cancer types,Male,2004,3711,6,6,10,6,16,13,23,34,71,88,207,309,424,586,609,582,461,165,95
South East of Scotland,All cancer types,Male,2005,3780,5,5,9,7,16,18,26,48,74,90,159,365,449,558,622,645,416,197,71
South East of Scotland,All cancer types,Male,2006,3922,7,2,9,11,18,24,31,41,58,103,206,342,463,596,635,623,438,234,81
South East of Scotland,All cancer types,Male,2007,3947,6,2,1,6,19,17,29,35,65,113,181,312,532,603,642,630,436,235,83
South East of Scotland,All cancer types,Male,2008,3961,8,4,1,7,15,31,22,52,75,108,168,308,518,574,710,556,453,274,77
