hb,cancer_site,sex,year,incidences_all_ages,crude_rate,hb_name
S08000016,All cancer types,All,1996,717,677.3096543,NHS Borders
S08000016,All cancer types,All,1997,617,582.2952057,NHS Borders
S08000016,All cancer types,All,1998,572,539.4190871,NHS Borders
S08000016,All cancer types,All,1999,637,602.0224931,NHS Borders
S08000016,All cancer types,All,2000,599,563.7647059,NHS Borders
S08000016,All cancer types,All,2001,616,575.9700795,NHS Borders
S08000016,All cancer types,All,2002,697,648.1912025,NHS Borders
S08000016,All cancer types,All,2003,615,567.3955162,NHS Borders
S08000016,All cancer types,All,2004,638,582.9145729,NHS Borders
S08000016,All cancer types,All,2005,734,665.7596372,NHS Borders
S08000016,All cancer types,All,2006,710,640.4474111,NHS Borders
S08000016,All cancer types,All,2007,701,624.7771836,NHS Borders
S08000016,All cancer types,All,2008,777,685.4269584,NHS Borders
S08000016,All cancer types,All,2009,694,610.9692755,NHS Borders
S08000016,All cancer types,All,2010,780,686.0158311,NHS Borders
S08000016,All cancer types,All,2011,760,667.3691605,NHS Borders
S08000016,All cancer types,All,2012,739,649.8417165,NHS Borders
S08000016,All cancer types,All,2013,789,692.8345627,NHS Borders
S08000016,All cancer types,All,2014,842,738.3374255,NHS Borders
S08000016,All cancer types,All,2015,792,694.5540647,NHS Borders
S08000016,All cancer types,All,2016,806,703.7457435,NHS Borders
S08000016,All cancer types,All,2017,920,799.8608938,NHS Borders
S08000016,All cancer types,All,2018,859,745.2069055,NHS Borders
S08000016,All cancer types,All,2019,766,663.146048,NHS Borders
S08000016,All cancer types,All,2020,714,619.5765359,NHS Borders
S08000016,All cancer types,Male,1996,349,686.8726629,NHS Borders
S08000016,All cancer types,Male,1997,296,581.6924105,NHS Borders
S08000016,All cancer types,Male,1998,286,561.4007538,NHS Borders
S08000016,All cancer types,Male,1999,266,522.326513,NHS Borders
S08000016,All cancer types,Male,2000,298,583.1246086,NHS Borders
S08000016,All cancer types,Male,2001,304,590.6697495,NHS Borders
S08000016,All cancer types,Male,2002,306,589.9022613,NHS Borders
S08000016,All cancer types,Male,2003,316,604.2758251,NHS Borders
S08000016,All cancer types,Male,2004,329,622.1751546,NHS Borders
S08000016,All cancer types,Male,2005,328,615.3153491,NHS Borders
S08000016,All cancer types,Male,2006,383,713.553796,NHS Borders
S08000016,All cancer types,Male,2007,378,695.4282035,NHS Borders
S08000016,All cancer types,Male,2008,373,680.0116678,NHS Borders
S08000016,All cancer types,Male,2009,361,657.4274735,NHS Borders
S08000016,All cancer types,Male,2010,391,711.6725214,NHS Borders
S08000016,All cancer types,Male,2011,360,652.2329921,NHS Borders
S08000016,All cancer types,Male,2012,365,661.435587,NHS Borders
S08000016,All cancer types,Male,2013,398,719.5675363,NHS Borders
S08000016,All cancer types,Male,2014,402,726.6942642,NHS Borders
S08000016,All cancer types,Male,2015,415,750.8186637,NHS Borders
